Date,Journal No,Reference No.,Currency Code,Exchange Rate,Journal Type,Description,Credit,Debit,Note,Account,Contact,Publish
2024-02-02,J-100022,REF-10000,,,,Animi quasi qui itaque aut possimus illum est magnam enim.,1000,0,Qui reprehenderit voluptate.,Bank Account,,T
2024-02-02,J-100022,REF-10000,,,,In assumenda dicta autem non est corrupti non et.,0,1000,Omnis tempora qui fugiat neque dolor voluptatem aut repudiandae nihil.,Bank Account,,T
2024-02-01,J-100023,REF-10000,,,,Animi quasi qui itaque aut possimus illum est magnam enim.,1400,0,Qui reprehenderit voluptate.,Bank Account,,T
2024-02-01,J-100023,REF-10000,,,,In assumenda dicta autem non est corrupti non et.,0,1400,Omnis tempora qui fugiat neque dolor voluptatem aut repudiandae nihil.,Bank Account,,T
2024-02-15,J-100024,REF-10000,,,,Animi quasi qui itaque aut possimus illum est magnam enim.,1900,0,Qui reprehenderit voluptate.,Bank Account,,T
2024-02-15,J-100024,REF-10000,,,,In assumenda dicta autem non est corrupti non et.,0,1900,Omnis tempora qui fugiat neque dolor voluptatem aut repudiandae nihil.,Bank Account,,T
2024-02-15,J-100025,REF-10000,,,,Animi quasi qui itaque aut possimus illum est magnam enim.,1900,0,Qui reprehenderit voluptate.,Bank Account,,T
2024-02-15,J-100025,REF-10000,,,,In assumenda dicta autem non est corrupti non et.,0,1900,Omnis tempora qui fugiat neque dolor voluptatem aut repudiandae nihil.,Bank Account,,T
2024-02-15,J-100026,REF-10000,,,,Animi quasi qui itaque aut possimus illum est magnam enim.,3494,0,Qui reprehenderit voluptate.,Bank Account,,T
2024-02-15,J-100026,REF-10000,,,,In assumenda dicta autem non est corrupti non et.,0,3494,Omnis tempora qui fugiat neque dolor voluptatem aut repudiandae nihil.,Bank Account,,T